date,mileage,liters,price,company_id
2/24/2022,120000,43.42,90.75,2
3/6/2022,120358,47.45,92.05,3
3/27/2022,120809,37.57,78.52,6
4/14/2022,121186,38,75.99,7
4/30/2022,121526,37.31,78.71,2
5/17/2022,121881,31.69,60.21,2
5/31/2022,122191,31.13,70.67,6
6/16/2022,122538,37.66,79.47,6
7/1/2022,122869,44.6,93.66,6
7/18/2022,123238,46.72,87.37,1
8/10/2022,123736,34.02,62.94,2
8/25/2022,124063,28.01,64.15,6
9/9/2022,124390,42.55,82.98,6
9/26/2022,124764,55.13,113.01,4
10/18/2022,125245,33.66,76.74,6
11/2/2022,125565,36.57,79.36,8
11/18/2022,125913,36.49,74.43,4
12/5/2022,126272,46.58,106.68,3
12/19/2022,126769,60.55,113.83,8
1/2/2023,127264,57.34,103.78,2
1/15/2023,127726,48.21,109.43,5
1/27/2023,128157,50.92,93.7,5
2/10/2023,128653,37.83,85.5,4
2/22/2023,129083,45.95,100.17,3
3/6/2023,129520,47.34,87.58,4
3/27/2023,129964,54.71,113.79,8
4/18/2023,130430,30.4,65.36,7
5/2/2023,130736,53.18,114.87,5
5/22/2023,131173,32.52,63.41,8
6/6/2023,131501,27.57,59.55,6
6/21/2023,131815,55,125.94,7
7/13/2023,132290,26.92,49.8,6
7/28/2023,132608,35.82,69.14,2
8/13/2023,132954,47.83,101.87,7
9/5/2023,133441,28.88,60.36,5
9/21/2023,133782,40.1,91.43,6
10/13/2023,134252,40.6,82.83,6
11/4/2023,134720,43.25,88.66,6
11/22/2023,135101,26.29,50.22,4
12/6/2023,135401,42.78,94.55,4
12/18/2023,135826,43.57,92.81,3
12/29/2023,136205,32.05,70.5,6
1/8/2024,136569,55.7,125.33,2
1/21/2024,137031,55.78,127.74,6
2/3/2024,137495,28.73,65.22,1
2/12/2024,137814,43.04,93.84,3
2/25/2024,138268,55.72,103.64,2
3/9/2024,138742,38.8,73.32,6
3/24/2024,139058,37.65,68.53,6
4/7/2024,139365,52.46,103.35,3
4/27/2024,139800,34.36,73.88,1
5/16/2024,140201,46.88,98.91,1
6/3/2024,140592,28.07,58.39,3
6/18/2024,140921,33.1,66.52,1
7/6/2024,141303,38.51,73.55,7
7/25/2024,141718,52.77,120.32,3
8/16/2024,142182,42.49,78.18,2
9/4/2024,142593,42.82,79.64,5
9/22/2024,142968,37.16,83.24,8
10/9/2024,143334,34.76,65.36,1
10/26/2024,143706,39.1,84.45,8
11/11/2024,144046,46.92,85.86,2
12/2/2024,144497,30.7,67.23,6
12/11/2024,144833,36.88,75.61,5
12/20/2024,145172,45.37,99.36,6
12/31/2024,145557,34.88,77.78,4
1/9/2025,145862,45.73,104.25,6
1/21/2025,146301,35.55,68.61,5
1/31/2025,146672,43.36,91.49,4
2/14/2025,147165,41.25,79.61,8
